Date,Close
2023-09-25,104.70
2023-09-26,104.02
2023-09-27,104.36
2023-09-28,104.50
2023-09-29,104.94
2023-09-30,104.90
2023-10-01,105.01
2023-10-02,103.80
2023-10-03,102.70
2023-10-04,101.98
2023-10-05,102.70
2023-10-06,103.42
2023-10-09,103.09
2023-10-10,104.73
2023-10-11,104.92
2023-10-12,104.99
2023-10-13,103.89
2023-10-14,103.77
2023-10-15,103.74
2023-10-16,104.38
2023-10-17,104.51
2023-10-18,104.02
2023-10-19,102.97
2023-10-20,102.23
2023-10-21,102.05
2023-10-22,102.06
2023-10-23,101.85
2023-10-24,102.26
2023-10-25,101.75
2023-10-26,101.39
2023-10-27,100.98
2023-10-28,101.00
2023-10-30,101.78
2023-10-31,102.05
2023-11-01,102.39
2023-11-02,103.26
2023-11-03,103.65
2023-11-05,103.64
2023-11-06,103.04
2023-11-07,102.92
2023-11-08,103.03
2023-11-09,103.05
2023-11-10,102.74
2023-11-11,102.69
2023-11-12,102.68
2023-11-13,103.72
2023-11-14,104.48
2023-11-15,105.16
2023-11-16,105.01
2023-11-17,105.44
2023-11-20,105.65
2023-11-21,105.84
2023-11-22,105.72
2023-11-23,106.08
2023-11-24,106.32
2023-11-26,106.25
2023-11-27,106.14
2023-11-28,106.18
2023-11-29,106.22
2023-11-30,106.92
2023-12-01,107.35
2023-12-04,107.25
2023-12-05,107.24
2023-12-06,106.98
2023-12-07,106.92
2023-12-08,106.85
2023-12-09,106.89
2023-12-10,106.83
2023-12-11,106.71
2023-12-12,106.84
2023-12-13,107.06
2023-12-14,106.80
2023-12-15,107.36
2023-12-18,106.98
2023-12-19,107.24
2023-12-20,106.93
2023-12-21,107.01
2023-12-22,106.95
2023-12-27,107.14
2023-12-28,106.91
2023-12-29,107.33
2024-01-02,108.14
2024-01-03,107.34
2024-01-04,108.26
2024-01-05,108.56
2024-01-06,108.51
2024-01-07,108.87
2024-01-08,109.15
2024-01-09,109.11
2024-01-10,109.01
2024-01-11,108.83
2024-01-12,109.30
2024-01-13,109.28
2024-01-14,109.28
2024-01-15,109.39
2024-01-16,108.93
2024-01-17,107.77
2024-01-18,108.28
2024-01-19,108.48
2024-01-20,108.49
2024-01-21,108.58
2024-01-22,108.68
2024-01-23,109.01
2024-01-24,110.12
2024-01-25,110.37
2024-01-26,110.97
2024-01-27,110.83
2024-01-28,110.83
2024-01-29,110.42
2024-01-30,109.86
2024-01-31,109.71
2024-02-01,109.22
2024-02-02,109.36
2024-02-04,109.37
2024-02-05,108.77
2024-02-06,109.42
2024-02-07,108.62
2024-02-08,108.24
2024-02-09,107.62
2024-02-10,107.45
2024-02-11,107.37
2024-02-12,107.92
2024-02-13,108.64
2024-02-14,108.19
2024-02-15,108.34
2024-02-16,108.18
2024-02-17,108.21
2024-02-18,108.21
2024-02-19,108.29
2024-02-20,109.21
2024-02-21,109.94
2024-02-22,110.31
2024-02-23,110.30
2024-02-24,110.77
2024-02-25,110.75
2024-02-26,110.27
2024-02-27,109.52
2024-02-28,109.90
2024-02-29,109.88
2024-03-01,110.33
2024-03-03,110.38
2024-03-04,109.37
2024-03-05,109.49
2024-03-06,109.79
2024-03-07,110.52
2024-03-08,110.81
2024-03-09,110.62
2024-03-10,110.62
2024-03-11,110.61
2024-03-12,111.31
2024-03-13,111.76
2024-03-14,111.78
2024-03-15,111.68
2024-03-16,111.89
2024-03-17,111.88
2024-03-18,111.64
2024-03-19,112.19
2024-03-20,112.47
2024-03-21,112.79
2024-03-22,112.89
2024-03-25,112.49
2024-03-26,112.66
2024-03-27,113.95
2024-03-28,113.74
2024-04-02,114.11
2024-04-03,113.85
2024-04-04,113.70
2024-04-05,112.03
2024-04-06,112.34
2024-04-07,112.31
2024-04-08,112.56
2024-04-09,112.59
2024-04-10,112.24
2024-04-11,112.14
2024-04-12,112.69
2024-04-13,111.57
2024-04-14,111.49
2024-04-15,112.15
2024-04-16,110.69
2024-04-17,111.10
2024-04-18,111.30
2024-04-19,111.61
2024-04-20,112.00
2024-04-21,112.06
2024-04-22,112.78
2024-04-23,113.73
2024-04-24,113.78
2024-04-25,112.95
2024-04-26,113.10
2024-04-27,113.04
2024-04-29,113.81
2024-04-30,113.49
2024-05-02,113.24
2024-05-03,113.85
2024-05-04,113.84
2024-05-05,113.83
2024-05-06,114.15
2024-05-07,115.19
2024-05-08,115.52
2024-05-09,116.02
2024-05-10,117.20
2024-05-11,116.82
2024-05-12,116.82
2024-05-13,116.94
2024-05-14,116.89
2024-05-15,117.54
2024-05-16,118.37
2024-05-17,118.18
2024-05-18,118.30
2024-05-19,118.29
2024-05-20,118.39
2024-05-21,118.18
